lookback_period,leverage,capital_allocation,momentum_threshold,sharpe_ratio,calmar_ratio,annual_return,max_drawdown,error_type,error_msg
383,1,0.7000000000000001,0.03,0.053870656016552824,0.04675261290580111,0.01583026005198529,-0.33859626378274693,,
383,1,0.7000000000000001,0.04,0.3432204930373797,0.38884813333227275,0.09640312482322533,-0.24791973153397745,,
383,1,0.7000000000000001,0.05,0.1299114282070762,0.12907020488960266,0.034729156205272727,-0.26907182982298306,,
383,1,0.7000000000000001,0.06,0.27206193006292423,0.2717426068909108,0.06844952231100065,-0.25189101957235305,,
383,1,0.7000000000000001,0.07,0.3508188136138856,0.31435226671611305,0.08414094533748373,-0.26766450968037775,,
383,1,0.7000000000000001,0.08,0.5330657131826028,0.5385011575456399,0.12156501276296394,-0.225746985052044,,
383,1,0.7000000000000001,0.09,0.7761020996145739,0.9408856777907905,0.16896967386414996,-0.17958576461796352,,
383,1,0.7000000000000001,0.1,0.6760073385069765,0.4707391831731505,0.1396541763835255,-0.2966699636986814,,
383,1,0.8,0.0,0.04336099559301935,0.044564374353775714,0.01648684166432357,-0.3699556406523796,,
383,1,0.8,0.01,0.05799317582019594,0.05155357017535581,0.02104039786521783,-0.4081268822634477,,
383,1,0.8,0.02,0.25055205270046427,0.26136146989218617,0.0874347778450173,-0.3345358360629242,,
383,1,0.8,0.03,0.03263004965540456,0.02892941012602919,0.010958357554924136,-0.3787964395811988,,
383,1,0.8,0.04,0.3233040752131706,0.3689411078654579,0.1037817587932175,-0.2812962735262986,,
383,1,0.8,0.05,0.11041974565185352,0.11044505785588189,0.03373537667989024,-0.305449400224961,,
383,1,0.8,0.06,0.25401199457636225,0.25828112625317623,0.07303799096034647,-0.28278485547856896,,
383,1,0.8,0.07,0.33411992449959893,0.3053332500680741,0.09158383664574599,-0.2999471450466903,,
383,1,0.8,0.08,0.5189987821705593,0.5328998422222795,0.135265217816271,-0.25382859422925125,,
383,1,0.8,0.09,0.7664813598387175,0.9403218468551404,0.19071438514408467,-0.20281820079148372,,
383,1,0.8,0.1,0.6653752498720151,0.47218147183322917,0.15709454568447456,-0.3326995129109156,,
383,1,0.9,0.0,0.019313515338657567,0.020242596871855263,0.008261369997206502,-0.4081180912461325,,
383,1,0.9,0.01,0.034949034009155534,0.031837191392650795,0.01426476937031751,-0.4480536362139767,,
383,1,0.9,0.02,0.22802271670419128,0.2409251498902331,0.08951934252477889,-0.3715649551969333,,
383,1,0.9,0.03,0.011478985831083968,0.01039818001962928,0.0043369435991527094,-0.41708679701309226,,
383,1,0.9,0.04,0.3029989569731068,0.34847933011490445,0.10942171151802338,-0.31399770965452567,,
383,1,0.9,0.05,0.0908770268344986,0.0915851241294374,0.031235283625458132,-0.3410519330771803,,
383,1,0.9,0.06,0.2357243858059207,0.24398605281669627,0.07625206847764243,-0.31252634155662035,,
383,1,0.9,0.07,0.31710970163324137,0.2955125348234795,0.09778641172398639,-0.3309044463457288,,
383,1,0.9,0.08,0.5044659063546649,0.526448061286115,0.14791224888984766,-0.2809626623536183,,
383,1,0.9,0.09,0.7562476487607721,0.931166343313141,0.21168905993091713,-0.22733753367600879,,
383,1,0.9,0.1,0.6542522677295413,0.4731844149212602,0.17377697115950963,-0.3672499889676773,,
383,1,1.0,0.0,-0.004536938596733897,-0.004850480383406731,-0.0021563096990199204,-0.4445559055133088,,
383,1,1.0,0.01,0.012042216491182966,0.011242297454736391,0.005461268127028074,-0.48577865414219545,,
383,1,1.0,0.02,0.20524961950901452,0.21978042878325244,0.08953206874141761,-0.4073705253788279,,
383,1,1.0,0.03,-0.009527663420743173,-0.008819214980619864,-0.003999669918146376,-0.45351768008100607,,
383,1,1.0,0.04,0.28235344114005007,0.3274626999284526,0.11329557438887283,-0.3459800899877354,,
383,1,1.0,0.05,0.07132598615733933,0.07248154079125056,0.027239342427815227,-0.37581075306146583,,
383,1,1.0,0.06,0.21723428273500667,0.22886731591848988,0.07807877146283215,-0.341153000154201,,
383,1,1.0,0.07,0.2998171415523106,0.2848876409218372,0.10272660391566335,-0.36058638269902266,,
383,1,1.0,0.08,0.4894868586650602,0.5191346282972268,0.1594670084740506,-0.3071785232225906,,
383,1,1.0,0.09,0.7454082498231207,0.9212480003367309,0.23183876917153268,-0.25165728347501637,,
383,1,1.0,0.1,0.6426479444937513,0.4737264323208007,0.18966080962345355,-0.40035935654740495,,
389,1,0.1,0.0,-0.06637737441048183,-0.047416848836789566,-0.0031547255733928026,-0.06653174242454359,,
389,1,0.1,0.01,0.16839879111878792,0.15024986513648156,0.0076529394436855025,-0.050934750834776776,,
389,1,0.1,0.02,0.1947732769580918,0.1656806829077208,0.008541211952628913,-0.051552249802024976,,
389,1,0.1,0.03,0.3183093106277222,0.28374590420970724,0.013416300649600421,-0.04728279933050549,,
389,1,0.1,0.04,0.3266997077744097,0.28618451558533103,0.01316189154714853,-0.04599092833596748,,
389,1,0.1,0.05,0.16975980513261352,0.13428042691345682,0.006532564862459678,-0.04864867510936564,,
389,1,0.1,0.06,0.4613775654885283,0.4704560882787763,0.016807018567740473,-0.035724946464676645,,
389,1,0.1,0.07,0.48004073937144875,0.46536208835114085,0.016523602284484795,-0.03550697982947172,,
389,1,0.1,0.08,0.562055048192365,0.63833827702877,0.018396508600027728,-0.02881937252087829,,
389,1,0.1,0.09,0.4085580480984359,0.30375813706859106,0.012801309915830394,-0.04214310121654372,,
389,1,0.1,0.1,0.553523135543805,0.36756651991402156,0.016634752837407563,-0.04525644185792178,,
389,1,0.2,0.0,-0.0898607959339982,-0.06562736998802676,-0.008541650027472314,-0.13015377622218713,,
389,1,0.2,0.01,0.145995366212758,0.13183103660872547,0.013269616595962264,-0.10065624102878358,,
389,1,0.2,0.02,0.17332400870147,0.1494501865472302,0.015201234152024679,-0.10171438726990607,,
389,1,0.2,0.03,0.29881973681527835,0.26941434490405275,0.025189683715139743,-0.09349793057274146,,
389,1,0.2,0.04,0.30818628134876785,0.27408751325627567,0.02483206635882529,-0.09059904285244458,,
389,1,0.2,0.05,0.15083353440576489,0.12144485541876529,0.011608517648450167,-0.09558673859359261,,
389,1,0.2,0.06,0.4464341471128063,0.4619777615347584,0.032525322256852895,-0.07040451936214195,,
389,1,0.2,0.07,0.46623219203129207,0.4592864957286121,0.0320965896496026,-0.06988359106593059,,
