rsi_window,rsi_long_threshold,rsi_short_threshold,sma_period,objective_value,total_return,annualized_return,volatility,sharpe_ratio,max_drawdown,calmar_ratio,win_rate,avg_win,avg_loss,profit_factor,total_trades,winning_trades,losing_trades
12,55,40,10,0.951184427055546,-0.9421474022264291,-0.6423551900616331,0.8935397258512585,-0.7188882278845223,-0.9758217653230693,-0.6582710212955395,0.2945608127389989,0.0077640028358824725,-0.006481988797393507,0.951184427055546,1770,5161,6499
16,60,40,30,0.9507285377202566,-0.8823857266120044,-0.5352329886139636,0.7823835205373548,-0.6841056522335186,-0.9511436897839289,-0.5627256894650191,0.20763655042520404,0.008128064090037098,-0.006681494243933442,0.9507285377202566,1346,3638,4655
16,60,40,20,0.9507285377202566,-0.8823857266120044,-0.5352329886139636,0.7823835205373548,-0.6841056522335186,-0.9511436897839289,-0.5627256894650191,0.20763655042520404,0.008128064090037098,-0.006681494243933442,0.9507285377202566,1346,3638,4655
16,50,30,40,0.9505006639768501,-0.8711041560990391,-0.5182860448734979,0.7695398186931293,-0.6735012695687106,-0.9485354759029918,-0.5464066005334142,0.20152959305975687,0.007944299839948765,-0.006693616421451437,0.9505006639768501,1252,3531,4409
10,55,30,30,0.9504163744577866,-0.9196618028516278,-0.5965685842130434,0.8426255876879722,-0.70798773848054,-0.9680074885512487,-0.6162850920770119,0.2547799783117402,0.007795597368788968,-0.00653840245885598,0.9504163744577866,1526,4464,5600
12,65,35,40,0.9504126355403175,-0.8591787549416241,-0.5017206819745411,0.7556127169136969,-0.6639918449544115,-0.9384462303250873,-0.5346291196680922,0.18452143142514696,0.008259485878647978,-0.006811183255758029,0.9504126355403175,1176,3233,4125
12,50,35,30,0.9503071363823851,-0.9324609801624095,-0.6230535757360667,0.8647352680625832,-0.7205136632532659,-0.9729465217068475,-0.6403780288386653,0.27606871753895323,0.007714708330714794,-0.0064819001865187645,0.9503071363823851,1660,4837,6058
16,60,40,10,0.9500086854215976,-0.8843096689323494,-0.5395030733640844,0.7811399327923675,-0.6906612384230626,-0.951718410604171,-0.5668725826388044,0.2070087323782889,0.008125953245711436,-0.006674645114558114,0.9500086854215976,1346,3627,4648
12,65,35,20,0.9497630562693332,-0.8621431527765036,-0.5069237516556249,0.755798216234573,-0.6707130828928732,-0.9387580591250424,-0.5399940343820822,0.1849209520004566,0.008252012870858428,-0.006801335649382513,0.9497630562693332,1178,3240,4139
12,65,35,30,0.9497630562693332,-0.8621431527765036,-0.5069237516556249,0.755798216234573,-0.6707130828928732,-0.9387580591250424,-0.5399940343820822,0.1849209520004566,0.008252012870858428,-0.006801335649382513,0.9497630562693332,1178,3240,4139
16,65,30,40,0.9497049834583544,-0.7187377969497635,-0.34829633349358746,0.6445980770242012,-0.5403310154158446,-0.8795378641596178,-0.39599924879456805,0.10227726727926488,0.009023632790264175,-0.007504058417028095,0.9497049834583544,678,1792,2269
16,65,30,30,0.9497049834583544,-0.7187377969497635,-0.34829633349358746,0.6445980770242012,-0.5403310154158446,-0.8795378641596178,-0.39599924879456805,0.10227726727926488,0.009023632790264175,-0.007504058417028095,0.9497049834583544,678,1792,2269
16,65,30,20,0.9497049834583544,-0.7187377969497635,-0.34829633349358746,0.6445980770242012,-0.5403310154158446,-0.8795378641596178,-0.39599924879456805,0.10227726727926488,0.009023632790264175,-0.007504058417028095,0.9497049834583544,678,1792,2269
10,50,30,30,0.9494201848697463,-0.9267287550401941,-0.6117277761138404,0.851714029616557,-0.71823141904712,-0.9697173739136064,-0.6308309952672254,0.2614576793562011,0.0077529271073607416,-0.0065125804418628705,0.9494201848697463,1570,4581,5744
16,50,35,20,0.9493949570166726,-0.9163006746781881,-0.5929944044326825,0.8292625216704543,-0.7150864641008534,-0.9650265674542299,-0.6144850560923106,0.2461617487586325,0.007820440926112626,-0.0065645655533161104,0.9493949570166726,1512,4313,5412
16,65,30,10,0.9492395118788105,-0.7199049842085417,-0.350094724211934,0.6435552359309984,-0.5440010502058458,-0.8794774184688039,-0.3980713055958381,0.10187774670395526,0.009029449507137802,-0.007496447097620754,0.9492395118788105,678,1785,2265
12,55,35,30,0.9491021560035049,-0.9277941084671051,-0.6154910568789045,0.8489436160731751,-0.72500816924201,-0.9719195893689679,-0.633273640753059,0.25946007647965297,0.007841098546715311,-0.006563651743709374,0.9491021560035049,1578,4546,5722
14,50,30,30,0.9490840778550351,-0.9029682986792258,-0.5676372979080466,0.8121547377935106,-0.6989275214354137,-0.9587907660066721,-0.5920345898534618,0.2268135380400662,0.007866025189833759,-0.006645799126594565,0.9490840778550351,1374,3974,4956
