bb_window,bb_std,atr_window,atr_multiplier,objective_value,total_return,annualized_return,volatility,sharpe_ratio,max_drawdown,calmar_ratio,win_rate,avg_win,avg_loss,profit_factor,total_trades,winning_trades,losing_trades
127,3.0,10,0.5,1.0341422282442903,1.1961816487644654,1.1323136977267354,0.853911664111818,1.326031421416983,-0.7413971037251315,1.5272701930415606,0.36384909537126875,0.007196092861828857,-0.0070257403912518486,1.0341422282442903,212,6375,6314
126,3.0,8,0.5,1.0340847470710994,1.1909188811159495,1.129825972691318,0.8539486805358105,1.3230607394139986,-0.7440958069429296,1.518387769624904,0.3639061697391701,0.007195586584749594,-0.007024513609114097,1.0340847470710994,216,6376,6316
137,2.5,9,1.0,1.0340698255122525,1.100626743209968,1.2502608576204541,0.9380612049112521,1.3328137344073818,-0.8137944194279241,1.536335010136042,0.38399634724045434,0.0073183710775647235,-0.007019864460384999,1.0340698255122525,372,6728,6783
143,2.5,10,1.0,1.0340467051046809,1.0602631543046264,1.2060483811021672,0.9270952227198305,1.3008894356762712,-0.8076586226132875,1.4932650346749674,0.3750356714799384,0.0073146885526705376,-0.0070003390041597615,1.0340467051046809,380,6571,6640
143,2.5,11,1.0,1.0340467051046809,1.0602631543046264,1.2060483811021672,0.9270952227198305,1.3008894356762712,-0.8076586226132875,1.4932650346749674,0.3750356714799384,0.0073146885526705376,-0.0070003390041597615,1.0340467051046809,380,6571,6640
123,3.0,12,0.5,1.0340207005576367,1.2251064475287228,1.1691574086005287,0.8663152831728402,1.3495749541882063,-0.7619719161404983,1.534383858295573,0.37292391986758744,0.007204632796431589,-0.00704631423018197,1.0340207005576367,200,6534,6461
126,3.0,12,0.5,1.0339760438517225,1.1808466605270507,1.1251865623617006,0.8540913827268748,1.3174076979553344,-0.7440958069429292,1.5121528059463991,0.3640203184749729,0.007194772886901996,-0.007030000213843946,1.0339760438517225,208,6378,6313
136,2.5,10,1.0,1.0339114776705698,1.0853932209122985,1.242816524202274,0.9384107387614175,1.3243843797467976,-0.8208797233241104,1.5140056318720507,0.38399634724045434,0.007321380830179504,-0.0070227916609209035,1.0339114776705698,370,6728,6784
136,2.5,11,1.0,1.0339114776705698,1.0853932209122985,1.242816524202274,0.9384107387614175,1.3243843797467976,-0.8208797233241104,1.5140056318720507,0.38399634724045434,0.007321380830179504,-0.0070227916609209035,1.0339114776705698,370,6728,6784
137,2.5,8,1.0,1.0338625571873579,1.0806087924924417,1.2396392486690986,0.9381209223025887,1.3214066749800681,-0.8155688680048868,1.5199688184538094,0.38399634724045434,0.0073187426590153775,-0.007020593268658344,1.0338625571873579,372,6728,6784
